epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2320.22,0.97778,0.74442,1.13155,0.79908,0.73102,0.77522,0.58614,0.98265,0.78147,1.22589,0.000742625,0.000742625,0.000742625
43,2375.93,0.96022,0.734,1.1278,0.80692,0.71122,0.76306,0.57883,0.98033,0.76769,1.22136,0.00073025,0.00073025,0.00073025
44,2431.4,0.95136,0.71132,1.11809,0.77046,0.74635,0.77518,0.58178,0.98728,0.78052,1.23546,0.000717875,0.000717875,0.000717875
45,2487.03,0.94468,0.70468,1.11062,0.82061,0.72877,0.78396,0.58256,1.00013,0.75953,1.24065,0.0007055,0.0007055,0.0007055
46,2542.41,0.94054,0.70493,1.11105,0.80633,0.75316,0.78618,0.58668,0.98935,0.74925,1.23454,0.000693125,0.000693125,0.000693125
47,2597.91,0.93327,0.69484,1.10831,0.80261,0.74082,0.78481,0.58843,0.9928,0.76337,1.25147,0.00068075,0.00068075,0.00068075
48,2653.32,0.93949,0.69308,1.10704,0.81409,0.73685,0.78456,0.59618,0.98822,0.77196,1.24019,0.000668375,0.000668375,0.000668375
49,2709.21,0.9307,0.68225,1.10656,0.8223,0.73577,0.79184,0.59396,0.97627,0.78594,1.22686,0.000656,0.000656,0.000656
50,2763.84,0.93234,0.67875,1.10242,0.81865,0.7403,0.79207,0.59668,0.97159,0.75128,1.23095,0.000643625,0.000643625,0.000643625
51,2819.09,0.92137,0.67477,1.10117,0.82131,0.73447,0.78807,0.5975,0.97347,0.7384,1.22646,0.00063125,0.00063125,0.00063125
52,2874.26,0.92082,0.66963,1.10225,0.8175,0.74847,0.79314,0.59826,0.96277,0.72833,1.2247,0.000618875,0.000618875,0.000618875
53,2929.23,0.91214,0.66522,1.0906,0.78473,0.74714,0.78902,0.60003,0.96674,0.75678,1.22974,0.0006065,0.0006065,0.0006065
54,2984.52,0.90016,0.64814,1.09034,0.83661,0.74376,0.79335,0.60255,0.972,0.75932,1.23595,0.000594125,0.000594125,0.000594125
55,3039.77,0.90337,0.65476,1.08941,0.81335,0.75252,0.79261,0.60478,0.97343,0.74482,1.22925,0.00058175,0.00058175,0.00058175
56,3094.34,0.89978,0.64918,1.08406,0.82442,0.73871,0.79252,0.59985,0.96305,0.73015,1.22906,0.000569375,0.000569375,0.000569375
57,3146.83,0.8875,0.63822,1.08132,0.83602,0.73933,0.79329,0.60436,0.9597,0.73227,1.23515,0.000557,0.000557,0.000557
58,3198.75,0.89424,0.6352,1.08195,0.80867,0.75368,0.79035,0.59945,0.95168,0.7364,1.22104,0.000544625,0.000544625,0.000544625
59,3250.35,0.88166,0.62393,1.07755,0.80401,0.76594,0.78673,0.60072,0.95416,0.72476,1.22835,0.00053225,0.00053225,0.00053225
60,3301.52,0.88227,0.61729,1.07745,0.83458,0.76037,0.80265,0.60974,0.95127,0.71402,1.22364,0.000519875,0.000519875,0.000519875
61,3353.02,0.86335,0.61083,1.07067,0.8228,0.74964,0.79832,0.61524,0.94176,0.71968,1.21656,0.0005075,0.0005075,0.0005075
